"Commission no.","Type (brief)","Type","Baumuster","Vehicle location","Order status financial","Order status logistical","Gross equipment price (repricing)","Additional equipment (enumeration)","Offer code  (enumeration)","Standard-/Special equipment (enumeration)","FIN","Subcategory (ID)","Vehicle alterable until","Requested delivery date",
"1684700228","2851 L","2851 L    6x4   B 13","96402412","","Ordered / in production","Factory order & alterable","","JCWV JCXX JK0U JK4E JR6M","","A0B A1E A1Y A2E A5D B1B B1F B1H B2A B2X B4M C3J C5P C6C C6I C6Q C7A C7F C7I C7J C8F C8I C9E C9S D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3K D3L D4S D4Z D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1M E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E9H F0F F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7Y F8B F8E F8F F8V F8W G0A G0K G0R G2E G5A G5G G5L I4I I5F I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1C K3V K5M K5Q K5Y K7N L0A L0Y L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3D M4X M5D M5V M6L M7T M8D M8Y N1G N6Z O0A O1S O1Z O2N O3D O3J O3K O5J O8K OWY OYL OYN OYR Q1Y Q8N R2K R2U S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W4J X2A X2I X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700229","2851 L","2851 L    6x4   B 13","96402412","","Ordered / in production","Factory order & alterable","","JCWV JCXX JK0U JK4E JR6M","","A0B A1E A1Y A2E A5D B1B B1F B1H B2A B2X B4M C3J C5P C6C C6I C6Q C7A C7F C7I C7J C8F C8I C9E C9S D0A D0S D1D D1P D2M D2N D2W D2Y D3B D3K D3L D4S D4Z D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D8X D9A E0D E0Q E1M E1Z E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E9H F0F F1I F1R F2A F2H F2P F2W F3C F3Y F4H F4X F4Z F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7T F7Y F8B F8E F8F F8V F8W G0A G0K G0R G2E G5A G5G G5L I4I I5F I6A I6I I6K I6M I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K1C K3V K5M K5Q K5Y K7N L0A L0Y L1C L1D L1G L1M L1P L1W L2H M0A M0C M0Q M0U M3D M4X M5D M5V M6L M7T M8D M8Y N1G N6Z O0A O1S O1Z O2N O3D O3J O3K O5J O8K OWY OYL OYN OYR Q1Y Q8N R2K R2U S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2K U2S U2V U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W4J X2A X2I X3W X4B Y1X Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5E Z5M Z5Q Z5U Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700230","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700231","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700232","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700233","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700234","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700235","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700236","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700237","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700238","2135 L","2135 L    4x2   B 08","96400312","","Ordered / in production","Factory order & alterable","","JC2X JCXX JZYU","","A0B A1D A1Y A2E A5K B1B B1F B1H B2A B2X B4M C3U C5P C6C C6J C6Q C7A C7F C7I C7J C8F C8I C9B C9S CLW D0S D1C D1P D2M D2N D2W D2Y D3B D4Y D5S D5T D5Y D6F D6I D6M D7A D7G D7I D7R D8N E0D E0F E1C E1M E3L E3W E5A E5B E5C E5K E5M E6Z E7F E8D E8E E9H F0F F1R F1T F2C F2G F2M F2U F3C F3W F4H F4X F4Y F5L F5Y F6D F6I F6R F6T F6V F7B F7D F7Y F8B F8E F8F F8V F8W G0K G0R G2B G5A G5G G5L I4A I5A I6A I6I I6K I6M I6X J1Z J2I J3Z J4X J6E J7A J7G J8U K0T K1E K3V K5M K5Q K5S K5Y K7I L0A L0Y L1C L1D L1M L1W L2H M0C M0Q M0U M2F M4X M5V M6L M7I M8A M8Y N6Z O0A O1S O1Z O3D O3K O5J OWY OYR Q1N Q8X R1Q S1D S1H S1I S1L S2H S2L S2N S3A S5A S5Z S8C S8D U1W U3D U3F U3H U3I U3S U4U V0R V0X V1B V1W V2J V8B V8X V9F W9T X2A X2I X3Z X4B Y1W Y3L Y4Z Y6A Z3Z Z4O Z4Q Z5C Z5P Z5X Z5Y Z8P Z8U Z9A","","27B","2026-03-12 00:00:00","2026-05-01",
"1684700242","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6W Q9P R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-07-29 00:00:00","2026-09-01",
"1684700243","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6W Q9P R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-07-29 00:00:00","2026-09-01",
"1684700244","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6W Q9P R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-07-29 00:00:00","2026-09-01",
"1684700245","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6W Q9P R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-07-29 00:00:00","2026-09-01",
"1684700246","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6W Q9P R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-07-29 00:00:00","2026-09-01",
"1684700247","2651 LSDNA","2651 LSDNA6x2   F 13","96342512","","Ordered / in production","Factory order & alterable","","","","A0B A1A A1D A1Z A2E A3D A4K A5B B1B B1F B1H B2A B2X B4L B5I C0A C1J C5B C5D C6C C6I C7F C7I C7J C8B C8H C8I CSK CZE D0A D0S D1D D1P D2J D2M D2N D2W D2Y D3B D3K D3L D4E D4J D4S D4Z D5E D5K D5R D5Z D6C D6G D6I D6M D6V D7F D7G D7I D7J D7K D7V D8M D9A E0D E0Q E1T E1Z E3L E3W E4C E4W E5A E5B E5K E6A E6E E6Z E7F E8D E8E F0F F0T F1R F2A F2H F2P F2W F3C F3P F3Y F4H F4T F4V F4X F4Y F4Z F5B F5K F5L F6D F6I F6R F6T F6V F7A F7C F7T F7X F8B F8E F8F F8V F8W FAV FZY G0K G2E G5A G5G G5L H2J I4D I5F I6D I6I I6K I6N I6X J1Z J2K J3Z J4X J5P J6E J7A J7G J8U K0T K0W K1I K3V K5M K5Q K5S K5Y K6G K7N L0A L1C L1G L1M L1P L1W L2G L2H L3K L6A M0A M0C M0Q M0U M3D M4X M4Y M5D M5V M6R M7I M7T M8B M8Y N1G N6Z O0A O1S O1Z O2N O3C O3J O3K O3R O5J O5Q O8K OWY OYL OYR Q0W Q3Z Q4K Q4X Q5Q Q5Y Q6W Q9P R2J S1D S1H S1I S1L S2H S2L S2N S2Q S3A S5A S5Z S8C S8D U1W U2G U2S U2V U3D U3F U3H U3S V0S V1A V1W V2B V8B V8X V9F W4E X2A X2I X3W X4B Y1X Y3L Y6A Z3Z Z4O Z4R Z5E Z5M Z5Q Z5U Z5X Z5Y","","24A","2026-07-29 00:00:00","2026-09-01",
